win_rate_diff,win_rate_avg,win_rate_abs_diff,avg_score_diff,avg_score_avg,avg_score_abs_diff,games_played_diff,games_played_avg,games_played_abs_diff,winrate_ratio,avgscore_ratio,team1_higher_winrate,match_winner
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.0,0.667,0.0,0.0,0.667,0.0,6.0,9.0,6.0,0.9999850077210237,0.9999850077210237,0,0
-0.53,0.265,0.53,-0.53,0.265,0.53,-262.0,135.0,262.0,0.0,0.0,0,1
-0.25,0.125,0.25,-0.25,0.125,0.25,-4.0,6.0,4.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0,1
-0.214,0.107,0.214,-0.214,0.107,0.214,-12.0,8.0,12.0,0.0,0.0,0,0
,,,,,,,,,,,0,0
-0.194,0.403,0.194,-0.194,0.403,0.194,24.0,24.0,24.0,0.6119877602447952,0.6119877602447952,0,1
-0.467,0.2335,0.467,-0.467,0.2335,0.467,-12.0,9.0,12.0,0.0,0.0,0,1
-0.5,0.25,0.5,-0.5,0.25,0.5,-27.0,16.5,27.0,0.0,0.0,0,1
,,,,,,,,,,,0,1
0.375,0.3125,0.375,0.375,0.3125,0.375,-6.0,5.0,6.0,3.999680025597952,3.999680025597952,1,1
-0.15000000000000002,0.5920000000000001,0.15000000000000002,-0.15000000000000002,0.5920000000000001,0.15000000000000002,172.0,92.0,172.0,0.7751008230761158,0.7751008230761158,0,1
-0.4,0.2,0.4,-0.4,0.2,0.4,-4.0,8.0,4.0,0.0,0.0,0,1
0.184,0.42500000000000004,0.184,0.184,0.42500000000000004,0.184,163.0,96.5,163.0,1.5525059307528302,1.5525059307528302,1,0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,5.0,0.0,0.0,0,1
0.08800000000000002,0.473,0.08800000000000002,0.08800000000000002,0.473,0.08800000000000002,164.0,96.0,164.0,1.205100114216452,1.205100114216452,1,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.14300000000000002,0.2715,0.14300000000000002,0.14300000000000002,0.2715,0.14300000000000002,25.0,22.5,25.0,1.7149142542872855,1.7149142542872855,1,1
0.167,0.0835,0.167,0.167,0.0835,0.167,5.0,3.5,5.0,16700.0,16700.0,1,1
0.07200000000000001,0.369,0.07200000000000001,0.07200000000000001,0.369,0.07200000000000001,22.0,26.0,22.0,1.2161796943034744,1.2161796943034744,1,1
0.030000000000000027,0.532,0.030000000000000027,0.030000000000000027,0.532,0.030000000000000027,1.0,178.5,1.0,1.0580066149590919,1.0580066149590919,1,0
-0.5,0.25,0.5,-0.5,0.25,0.5,-27.0,16.5,27.0,0.0,0.0,0,1
-0.5,0.25,0.5,-0.5,0.25,0.5,-3.0,4.5,3.0,0.0,0.0,0,1
,,,,,,,,,,,0,1
-0.07300000000000001,0.48050000000000004,0.07300000000000001,-0.07300000000000001,0.48050000000000004,0.07300000000000001,-160.0,98.0,160.0,0.8587841627821513,0.8587841627821513,0,0
-0.33299999999999996,0.8335,0.33299999999999996,-0.33299999999999996,0.8335,0.33299999999999996,32.0,17.0,32.0,0.6669933300666994,0.6669933300666994,0,0
-0.137,0.5985,0.137,-0.137,0.5985,0.137,233.0,149.5,233.0,0.7945907857453411,0.7945907857453411,0,1
-0.5,0.75,0.5,-0.5,0.75,0.5,9.0,5.5,9.0,0.49999500004999947,0.49999500004999947,0,0
0.15000000000000002,0.5920000000000001,0.15000000000000002,0.15000000000000002,0.5920000000000001,0.15000000000000002,-166.0,95.0,166.0,1.2901104427380516,1.2901104427380516,1,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
0.33299999999999996,0.3335,0.33299999999999996,0.33299999999999996,0.3335,0.33299999999999996,-10.0,7.0,10.0,2.993832704628465,2.993832704628465,1,1
,,,,,,,,,,,0,0
0.065,0.39649999999999996,0.065,0.065,0.39649999999999996,0.065,-4.0,9.0,4.0,1.1785390511249692,1.1785390511249692,1,0
-0.8180000000000001,0.591,0.8180000000000001,-0.8180000000000001,0.591,0.8180000000000001,21.0,11.5,21.0,0.1819981800181998,0.1819981800181998,0,1
,,,,,,,,,,,0,0
-0.364,0.182,0.364,-0.364,0.182,0.364,-10.0,6.0,10.0,0.0,0.0,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
-0.667,0.3335,0.667,-0.667,0.3335,0.667,-2.0,2.0,2.0,0.0,0.0,0,1
0.667,0.3335,0.667,0.667,0.3335,0.667,2.0,2.0,2.0,66700.0,66700.0,1,1
,,,,,,,,,,,0,0
-0.05199999999999999,0.33799999999999997,0.05199999999999999,-0.05199999999999999,0.33799999999999997,0.05199999999999999,37.0,29.5,37.0,0.8571193099090685,0.8571193099090685,0,0
,,,,,,,,,,,0,0
0.024999999999999994,0.1125,0.024999999999999994,0.024999999999999994,0.1125,0.024999999999999994,-2.0,9.0,2.0,1.24987501249875,1.24987501249875,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
-0.024999999999999994,0.1125,0.024999999999999994,-0.024999999999999994,0.1125,0.024999999999999994,2.0,9.0,2.0,0.7999360051195904,0.7999360051195904,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
-0.35600000000000004,0.378,0.35600000000000004,-0.35600000000000004,0.378,0.35600000000000004,-4.0,7.0,4.0,0.35970576068775745,0.35970576068775745,0,0
0.35600000000000004,0.378,0.35600000000000004,0.35600000000000004,0.378,0.35600000000000004,4.0,7.0,4.0,2.7798610069496523,2.7798610069496523,1,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.44399999999999995,0.778,0.44399999999999995,-0.44399999999999995,0.778,0.44399999999999995,7.0,5.5,7.0,0.5559944400555995,0.5559944400555995,0,1
0.44399999999999995,0.778,0.44399999999999995,0.44399999999999995,0.778,0.44399999999999995,-7.0,5.5,7.0,1.798528803438787,1.798528803438787,1,0
0.30300000000000005,0.5155000000000001,0.30300000000000005,0.30300000000000005,0.5155000000000001,0.30300000000000005,22.0,22.0,22.0,1.8323672426581687,1.8323672426581687,1,1
-0.551,0.2755,0.551,-0.551,0.2755,0.551,-272.0,138.0,272.0,0.0,0.0,0,1
-0.167,0.0835,0.167,-0.167,0.0835,0.167,-11.0,6.5,11.0,0.0,0.0,0,0
0.455,0.2275,0.455,0.455,0.2275,0.455,16.0,14.0,16.0,45500.0,45500.0,1,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.23800000000000004,0.548,0.23800000000000004,0.23800000000000004,0.548,0.23800000000000004,-4.0,5.0,4.0,1.5547423136989815,1.5547423136989815,1,1
0.194,0.347,0.194,0.194,0.347,0.194,14.0,11.0,14.0,1.7759289628414863,1.7759289628414863,1,1
0.5,0.75,0.5,0.5,0.75,0.5,-5.0,3.5,5.0,1.9999600007999843,1.9999600007999843,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
0.33299999999999996,0.3335,0.33299999999999996,0.33299999999999996,0.3335,0.33299999999999996,-10.0,7.0,10.0,2.993832704628465,2.993832704628465,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
1.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.0,99999.99999999999,99999.99999999999,1,1
,,,,,,,,,,,0,1
-0.333,0.1665,0.333,-0.333,0.1665,0.333,-4.0,4.0,4.0,0.0,0.0,0,1
,,,,,,,,,,,0,1
0.268,0.301,0.268,0.268,0.301,0.268,11.0,17.5,11.0,2.6046344530267644,2.6046344530267644,1,1
,,,,,,,,,,,0,1
-0.6,0.7,0.6,-0.6,0.7,0.6,9.0,5.5,9.0,0.3999960000399996,0.3999960000399996,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
